マスター,地名,センター,普通ごみ,資源ごみ,容器包装 プラスチック,古紙 衣類
1,池田町,北部環境事業センター,火 金,月,木,木
1,浮田,北部環境事業センター,水 土,火,金,金
1,梅田,北部環境事業センター,水 土,火,金,金
1,扇町,北部環境事業センター,水 土,火,金,金
1,大深町,北部環境事業センター,月 木,火,金,金
1,大淀北,北部環境事業センター,月 木,水,土,土
1,大淀北,北部環境事業センター,月 木,水,土,土
1,大淀中 ファインクォーターシティ,北部環境事業センター,水 土,水,土,土
1,大淀中5丁目 シティハイツ大淀,北部環境事業センター,水 土,水,土,土
1,大淀南,北部環境事業センター,月 木,水,土,土
1,角田町,北部環境事業センター,水 土,火,金,金
1,神山町,北部環境事業センター,水 土,火,金,金
1,菅栄町,北部環境事業センター,火 金,月,木,木
1,黒崎町,北部環境事業センター,水 土,火,金,金
1,紅梅町,北部環境事業センター,火 金,月,木,木
1,国分寺,北部環境事業センター,火 金,月,木,木
1,小松原町,北部環境事業センター,水 土,火,金,金
1,芝田,北部環境事業センター,月 木,火,金,金
1,末広町,北部環境事業センター,水 土,火,金,金
1,菅原町,北部環境事業センター,水 土,火,金,金
1,曽根崎,北部環境事業センター,水 土,火,金,金
1,曽根崎新地,北部環境事業センター,水 土,火,金,金
1,太融寺町,北部環境事業センター,水 土,火,金,金
1,茶屋町,北部環境事業センター,月 木,火,金,金
1,鶴野町,北部環境事業センター,月 木,火,金,金
1,鶴野町 ザ・梅田タワー,北部環境事業センター,水 土,火,金,金
1,天神西町,北部環境事業センター,水 土,火,金,金
1,天神橋1～6丁目,北部環境事業センター,火 金,月,木,木
1,天神橋1丁目 ザ・パークハウス天神橋1丁目,北部環境事業センター,水 土,月,木,木
1,天神橋7・8丁目,北部環境事業センター,火 金,月,木,木
1,天満,北部環境事業センター,火 金,月,木,木
1,天満橋,北部環境事業センター,火 金,月,木,木
1,同心,北部環境事業センター,火 金,月,木,木
1,堂島,北部環境事業センター,水 土,火,金,金
1,堂島浜,北部環境事業センター,水 土,火,金,金
1,堂山町,北部環境事業センター,水 土,火,金,金
1,兎我野町,北部環境事業センター,水 土,火,金,金
1,豊崎,北部環境事業センター,月 木,火,金,金
1,豊崎4丁目 レジデンス梅田・ローレルタワー,北部環境事業センター,水 土,火,金,金
1,中崎,北部環境事業センター,水 土,火,金,金
1,中崎西,北部環境事業センター,水 土,火,金,金
1,中津1丁目,北部環境事業センター,月 木,水,土,金
1,中津1~4丁目,北部環境事業センター,月 木,水,土,土
1,中之島,北部環境事業センター,水 土,火,金,金
1,長柄中,北部環境事業センター,火 金,月,木,木
1,長柄西,北部環境事業センター,火 金,月,木,木
1,長柄東,北部環境事業センター,火 金,月,木,木
1,浪花町,北部環境事業センター,水 土,火,金,金
1,錦町,北部環境事業センター,火 金,月,木,木
1,西天満,北部環境事業センター,水 土,火,金,金
1,野崎町,北部環境事業センター,水 土,火,金,金
1,万歳町,北部環境事業センター,水 土,火,金,金
